nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
29,0.038396854,-0.85823905,-0.52295136,0.046985976,-0.8602861,-0.5186271,-0.0031680523,-0.88167346,-0.52186584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.046045944,-0.86068577,-0.51861656,0.046045948,-0.86068577,-0.51861656,0.0064342716,-0.87990975,-0.5103896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.045795303,-0.8609226,-0.517719,0.045795303,-0.8609226,-0.517719,0.03351368,-0.872527,-0.47373873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.06320818,-0.86820465,-0.50680476,0.06320818,-0.86820465,-0.50680476,0.05307119,-0.8742593,-0.450337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.06355392,-0.86828816,-0.5049738,0.06355392,-0.86828816,-0.5049738,0.08049551,-0.8723794,-0.4152596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.07796033,-0.87396294,-0.49206337,0.07796033,-0.8739629,-0.49206334,0.07417071,-0.8735577,-0.4228111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.077902704,-0.8740512,-0.49061525,0.077902704,-0.8740512,-0.49061528,0.076143354,-0.8818807,-0.41835615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.09219579,-0.8780801,-0.4787928,0.09219579,-0.8780801,-0.4787928,0.094760686,-0.88399655,-0.39176014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.09146731,-0.87820274,-0.47798252,0.09146731,-0.87820274,-0.47798252,0.05069081,-0.88732994,-0.44431567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.09976817,-0.8832067,-0.47277686,0.09976817,-0.8832067,-0.47277686,0.03485361,-0.90715563,-0.46322405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.09773855,-0.8838276,-0.47345656,0.09773855,-0.8838276,-0.4734566,-0.010467812,-0.91692305,-0.51719165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.09522203,-0.884433,-0.47474936,0.09522203,-0.884433,-0.47474936,-0.02179098,-0.9099752,-0.5306032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.11936627,-0.8924041,-0.45829415,0.11936628,-0.892404,-0.45829415,0.025436189,-0.915942,-0.47449264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.11783164,-0.89272827,-0.4581257,0.11783164,-0.89272827,-0.4581257,0.042634074,-0.90861785,-0.44987175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.15039451,-0.9042172,-0.43619007,0.15039451,-0.9042172,-0.43619007,0.08624806,-0.8942797,-0.39850298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.15020847,-0.9039109,-0.43413758,0.15020847,-0.9039109,-0.43413755,0.15131867,-0.8844561,-0.32149976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.18171345,-0.9066216,-0.40967292,0.18171345,-0.9066216,-0.40967292,0.18553513,-0.869388,-0.27723083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.18254983,-0.905915,-0.4061313,0.18254983,-0.9059151,-0.40613133,0.22709997,-0.87878394,-0.2281119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.18848692,-0.90901667,-0.3945112,0.18848692,-0.90901667,-0.39451116,0.20790778,-0.9038597,-0.251004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.18808238,-0.9092228,-0.3924866,0.18808237,-0.9092228,-0.39248663,0.16320322,-0.9215265,-0.29924548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.18784292,-0.9094881,-0.39031526,0.18784292,-0.9094881,-0.39031526,0.17611015,-0.9224884,-0.28391814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.18512781,-0.9043584,-0.38371637,0.18512781,-0.9043584,-0.38371637,0.12936999,-0.9228253,-0.33756286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.1833726,-0.90473413,-0.38345775,0.1833726,-0.90473413,-0.38345775,0.09736676,-0.9231444,-0.3707844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.18223974,-0.89399165,-0.37437844,0.18223976,-0.8939917,-0.37437844,0.10615172,-0.8985392,-0.36075294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.18086028,-0.8940051,-0.37394,0.18086028,-0.8940051,-0.37394,0.11430156,-0.8977286,-0.35119277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.17675556,-0.89095,-0.3747878,0.17675556,-0.89095,-0.3747878,0.098340556,-0.9123171,-0.36763284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.17497839,-0.89118284,-0.37488654,0.17497839,-0.89118284,-0.37488654,0.09150571,-0.8945006,-0.37558135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
